PER,UPER,ECC,UECC
day,day,,
446.27,0.22,0.6616,0.0054
692,2,0.11,0.05
55.01307,0.00064,0.6767,0.0019
4.15474,0.00052,0.27499,0.12205
5.36865,0.00009,0.031,0.014
5040,3414,0.36,0.16
20.8133,0.0064,0.121,0.082
2.21857567,1.5e-7,0,
443.4,4.2,0,0.05
1043,9,0.11,0.06
431.8,3.1,0.101,0.036
1928,46,0.53,0.205
123.75,0.3,0.33,0.06
373.3,3.4,0.111,0.06
258.18,0.07,0.233,0.002
3805.6705,422.695,0.252086,0.0334054
70.459999,0.18,0.11,0.02
1951,41,0.638,0.002
41.397,0.016,0.314,0.086
38.14,0.015,0.04,0.076
1008,18,0.133,0.011
325.81,0.26,0.334,0.011
3827,105,0.25,0.08
408.6,0.5,0.46,0.02
75.29,0.02,0.73,0.02
466.2,1.7,0.266,0.014
58.43,0.13,0.11,0.1
1531,4.7,0.482,0.011
993.3,3.2,0.08,0.01
550,3,0.59,0.01
1278.1218,4.00647,0.267395,0.0196178
